date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20240615,0,PM2.5,18,12,8,8,11,23,7,7,7,8,,6,7,,5,7,9,10,7,11,12,5,7,15,10,31,37,7,12,15,55,5,,10,5
20240615,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,0,PM10,42,24,19,18,21,50,23,18,18,16,18,24,17,,14,25,21,16,13,26,34,15,14,34,32,63,76,37,26,42,64,16,,55,11
20240615,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,0,AQI,42,24,20,22,23,50,23,20,22,25,25,24,19,,14,25,21,24,24,26,34,21,18,34,32,57,63,37,26,42,75,24,,53,23
20240615,1,PM2.5,27,21,16,15,22,33,9,7,7,9,,6,6,,5,9,9,8,5,11,13,6,6,14,10,37,45,6,25,28,62,5,,8,6
20240615,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,1,PM10,59,38,32,30,39,65,27,24,17,25,21,26,16,,12,35,21,12,11,29,35,22,13,31,32,77,92,31,52,56,,23,,65,16
20240615,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,1,AQI,55,38,32,30,39,58,27,24,20,25,21,26,19,,13,35,24,21,22,29,35,22,15,31,32,64,71,31,51,53,84,23,,58,21
20240615,2,PM2.5,22,21,13,18,22,35,8,8,8,7,,7,5,,5,9,7,7,5,10,9,7,7,12,10,24,35,11,23,33,56,6,,6,7
20240615,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,2,PM10,49,38,28,37,43,65,23,20,24,17,23,31,16,,12,34,21,11,11,30,20,13,13,28,28,56,73,38,52,50,57,23,,52,16
20240615,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,2,AQI,49,38,28,37,55,58,27,20,24,24,23,31,18,,14,34,22,20,19,30,20,14,14,28,28,53,62,38,51,50,77,23,,51,20
20240615,3,PM2.5,16,17,7,12,10,30,7,6,11,7,,6,5,,4,9,7,6,5,9,5,20,9,25,16,41,51,13,24,32,64,6,,5,6
20240615,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,3,PM10,40,33,21,27,25,59,24,17,38,18,19,38,16,,12,30,21,10,10,28,11,29,16,59,31,55,91,46,54,58,67,24,,43,14
20240615,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,3,AQI,40,33,21,27,40,55,30,17,38,23,22,38,19,,20,30,21,19,19,28,19,29,16,55,31,58,71,46,52,54,87,24,,43,21
20240615,4,PM2.5,39,50,28,33,33,54,7,7,8,8,,5,4,,4,24,7,11,9,7,3,20,11,48,29,58,72,22,47,63,63,6,,6,6
20240615,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,4,PM10,81,75,55,66,60,92,24,13,28,20,19,38,15,,11,57,20,21,17,22,8,28,19,99,51,72,120,49,89,68,,24,,45,14
20240615,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,4,AQI,66,69,53,58,55,74,24,13,28,20,19,38,19,,19,54,20,21,17,22,20,29,19,75,51,79,97,49,70,85,85,24,,45,21
20240615,5,PM2.5,56,62,48,61,62,74,8,8,21,10,,6,7,,4,8,8,9,8,6,4,17,11,42,35,71,89,53,68,88,62,7,,27,8
20240615,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,5,PM10,101,94,89,114,103,115,26,20,53,23,23,32,19,,11,27,23,17,15,20,11,18,20,81,52,88,,71,117,,,25,,,22
20240615,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,5,AQI,77,84,70,83,84,99,27,28,52,23,25,32,19,,16,27,23,17,15,20,15,25,20,66,51,95,118,73,92,117,84,25,,39,22
20240615,6,PM2.5,60,57,50,60,70,72,20,10,17,9,,13,24,,5,9,8,7,7,7,7,17,9,44,37,72,,71,73,96,65,7,,25,15
20240615,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,6,PM10,100,85,90,99,101,109,56,18,44,26,25,31,52,,13,30,24,14,14,21,18,23,17,82,60,79,,78,112,,,22,,72,40
20240615,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,6,AQI,82,78,70,82,94,97,53,22,44,26,25,31,51,,13,30,24,17,16,21,18,25,17,66,55,97,19,95,98,127,88,22,,61,40
20240615,7,PM2.5,62,57,38,56,73,74,13,9,22,7,,14,7,,16,10,10,9,8,8,7,17,12,50,50,73,90,83,76,94,68,8,,6,11
20240615,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,7,PM10,92,79,66,82,98,104,38,20,58,26,29,42,19,,36,31,29,18,15,23,18,22,23,91,72,85,125,98,109,96,,25,,32,34
20240615,7,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,7,AQI,84,78,58,77,98,99,38,20,54,26,29,42,19,,36,31,29,18,17,23,18,25,23,71,69,98,119,110,102,124,92,25,,32,34
20240615,8,PM2.5,46,41,22,40,59,50,12,9,10,7,,9,5,,3,11,12,15,30,5,3,12,8,45,45,61,77,79,64,79,68,7,,7,5
20240615,8,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,8,PM10,65,60,40,58,78,72,39,27,27,23,32,41,17,,9,32,35,31,46,17,10,27,17,81,78,85,106,107,90,95,,25,,35,18
20240615,8,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240615,8,AQI,64,58,40,57,80,69,39,27,27,23,32,41,17,,17,32,35,31,46,17,23,27,17,66,64,83,103,105,87,105,92,25,,35,21
20240615,9,PM2.5,9,8,5,11,13,13,8,10,5,6,9,8,3,,2,10,9,4,6,3,3,4,2,10,8,20,29,22,20,25,43,5,,4,4
20240615,9,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
