date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20241002,0,PM2.5,4,3,4,3,3,2,3,2,3,2,3,2,3,5,3,3,3,2,3,,4,10,10,3,1,3,4,2,3,3,4,2,2,3,3
20241002,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241002,0,PM10,11,6,7,6,7,7,7,4,8,6,7,5,9,9,6,6,8,3,3,,11,23,15,5,5,10,11,9,7,8,5,5,9,12,7
20241002,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241002,0,AQI,13,10,14,13,13,12,13,9,11,15,14,13,10,9,6,12,12,18,18,,11,23,15,13,15,12,11,14,12,10,11,17,13,13,15
20241002,1,PM2.5,5,3,4,2,3,3,3,2,3,4,3,2,3,4,2,3,3,2,3,5,4,9,12,3,2,3,5,3,3,3,4,3,2,4,4
20241002,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241002,1,PM10,10,5,7,6,8,8,7,5,9,10,7,5,7,9,4,7,7,3,4,12,11,21,18,6,6,10,14,8,7,8,,6,14,14,7
20241002,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241002,1,AQI,12,9,13,13,20,10,12,6,10,11,15,11,11,11,9,13,13,16,17,12,11,21,18,12,14,11,83,12,9,9,16,13,14,14,14
20241002,2,PM2.5,5,4,4,4,3,3,3,3,4,4,5,3,3,3,2,3,4,2,3,6,4,11,12,4,2,3,5,3,3,3,4,3,2,4,4
20241002,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
