date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20240929,1,SO2,3,1,6,2,3,1,4,3,1,4,3,3,3,3,2,1,1,3,3,2,3,4,4,3,3,3,2,3,3,1,2,3,7,3,1
20240929,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240929,1,NO2,30,27,24,31,39,39,25,14,25,28,32,17,38,14,7,12,9,22,9,38,6,12,10,16,22,45,43,34,32,70,24,15,23,30,12
20240929,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240929,1,O3,30,31,32,21,19,13,36,12,17,11,17,3,2,16,4,38,42,24,41,2,40,90,101,38,37,17,30,23,24,2,65,19,5,12,26
20240929,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240929,1,CO,1.1,1,1.1,1.1,1.1,1,0.8,1,1.1,0.9,1.1,0.9,1,1.1,1,0.9,0.8,1,0.9,0.8,0.7,1.2,0.8,0.7,0.7,1.2,1.1,1,1,1,0.6,0.8,0.7,0.9,0.6
20240929,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240929,2,SO2,3,1,6,2,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,6,4,3,1,1,2,1,1,1,2,3,10,3,3
20240929,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240929,2,NO2,36,30,28,31,46,48,27,12,21,33,39,17,38,24,6,8,8,19,11,29,15,10,8,16,35,25,25,45,35,68,23,15,25,33,11
