date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20241015,0,SO2,2,3,3,1,2,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3
20241015,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241015,0,NO2,63,18,58,44,60,59,52,25,43,37,55,31,,4,5,16,13,14,9,34,15,19,11,51,46,63,63,64,51,56,44,22,29,53,13
20241015,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241015,0,O3,8,1,7,12,15,3,11,1,2,14,2,15,,26,25,32,20,43,50,25,52,20,32,7,9,1,3,1,2,2,2,26,7,5,33
20241015,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241015,0,CO,1.7,1.2,1.2,1.5,1.3,1.5,1,1,1.3,0.9,1.6,1,,1.1,0.5,0.7,0.7,1.1,1.1,1.1,1,1,1,1.2,1.1,1.4,1.4,1.6,1.3,1.3,1,0.8,0.8,1,0.9
20241015,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241015,1,SO2,3,3,2,1,2,3,5,3,1,2,4,3,3,3,3,3,3,3,3,4,3,1,3,3,3,3,3,3,3,1,3,3,3,3,3
20241015,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241015,1,NO2,61,19,48,43,65,62,53,24,50,40,50,43,5,2,5,10,11,13,8,12,10,13,10,42,52,70,64,60,54,70,37,28,31,54,10
20241015,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241015,1,O3,13,2,23,16,2,1,8,2,3,2,1,9,46,40,35,38,26,38,45,55,58,29,43,20,5,2,1,1,2,2,2,15,6,7,33
20241015,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
