date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20240922,0,PM2.5,5,2,3,2,4,1,1,1,3,3,1,1,2,1,2,2,1,2,2,4,2,3,4,2,2,3,3,2,2,2,3,2,3,2,1
20240922,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240922,0,PM10,9,5,7,6,7,4,6,3,8,7,4,2,6,3,5,3,3,4,4,9,,6,6,8,5,10,11,7,6,6,17,7,11,7,
20240922,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240922,0,AQI,19,14,15,16,14,17,14,18,14,15,20,18,18,18,18,23,22,23,22,14,18,16,17,14,14,12,17,18,18,18,17,14,17,17,20
20240922,1,PM2.5,4,2,3,2,4,2,2,2,3,3,1,1,2,1,2,1,1,2,2,4,2,3,4,2,2,3,3,2,2,2,3,2,3,2,1
20240922,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240922,1,PM10,8,5,6,6,8,5,7,3,8,5,5,3,5,3,3,3,3,4,4,11,,6,7,8,6,11,12,5,6,6,16,5,14,7,
20240922,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240922,1,AQI,17,16,13,15,21,15,14,17,13,16,20,17,17,17,16,24,22,18,20,13,16,15,14,14,11,12,21,16,16,15,16,16,20,18,20
20240922,2,PM2.5,5,2,3,1,4,2,2,2,3,2,2,1,1,1,2,1,1,2,2,5,4,3,3,2,2,3,3,2,2,2,3,2,2,2,1
20240922,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240922,2,PM10,9,6,6,6,8,6,7,3,7,3,6,3,5,3,3,3,2,4,4,14,,5,6,7,7,11,13,4,6,6,13,5,14,7,1
20240922,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240922,2,AQI,16,15,12,15,26,13,15,16,14,18,19,14,16,17,15,23,22,20,20,20,12,15,14,11,19,15,25,16,13,15,16,15,18,16,19
20240922,3,PM2.5,5,2,3,1,4,2,3,2,2,2,1,1,1,2,2,1,1,2,2,4,8,2,3,2,2,4,3,1,2,2,3,2,3,2,1
20240922,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
