date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20241202,0,PM2.5,3,4,4,4,3,1,3,4,4,4,4,3,2,2,2,1,2,4,3,2,2,3,4,4,3,3,4,2,4,2,2,3,4,4,4
20241202,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241202,0,PM10,15,16,19,14,12,9,16,17,15,12,13,11,8,8,7,6,7,10,9,9,8,13,18,11,11,11,18,16,18,13,23,12,13,13,12
20241202,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241202,0,AQI,20,20,19,18,20,22,18,17,18,18,20,17,23,20,17,20,21,21,20,22,21,18,18,18,17,15,18,17,18,20,23,21,21,20,20
20241202,1,PM2.5,2,2,3,3,2,2,2,3,4,3,4,3,1,1,2,1,1,3,2,2,1,2,2,2,2,2,3,2,3,2,2,2,4,3,4
20241202,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241202,1,PM10,10,11,13,16,9,7,12,12,15,11,14,12,6,8,5,4,5,8,6,8,5,13,13,15,15,9,20,20,14,10,20,11,11,13,11
20241202,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241202,1,AQI,21,21,18,18,20,23,18,17,18,18,19,16,23,21,18,20,20,20,19,22,22,18,17,20,18,16,20,20,19,21,20,21,20,20,20
20241202,2,PM2.5,1,2,3,2,2,2,2,2,3,2,3,2,1,1,1,1,1,3,,1,1,1,1,1,1,1,2,2,2,1,1,2,3,2,4
20241202,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241202,2,PM10,7,8,10,11,6,5,11,11,13,9,9,11,5,5,5,3,4,7,,6,4,5,6,9,9,8,13,15,9,7,34,9,9,13,9
20241202,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241202,2,AQI,20,21,17,18,19,22,17,17,18,19,18,14,23,21,18,21,20,21,,22,22,18,18,20,17,15,20,15,18,20,34,21,21,21,20
20241202,3,PM2.5,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,3,2,3
20241202,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241202,3,PM10,6,6,5,6,5,5,8,8,9,8,7,8,6,3,3,3,4,5,3,4,3,3,3,6,6,5,8,12,8,6,11,8,7,10,8
20241202,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241202,3,AQI,20,21,19,20,19,23,18,17,18,19,18,15,22,20,17,21,20,21,20,22,21,18,18,19,17,17,20,16,19,20,18,21,21,21,20
20241202,4,PM2.5,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2
