date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20240824,0,PM2.5,8,4,14,8,9,7,17,14,19,24,22,18,7,4,6,9,12,4,3,13,6,6,9,17,9,10,9,6,6,8,11,5,8,9,24
20240824,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,0,PM10,13,7,22,14,13,10,25,24,31,39,42,34,12,8,13,17,17,10,10,30,14,13,17,29,18,14,15,12,11,15,,15,13,19,30
20240824,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,0,AQI,31,7,27,28,29,29,25,24,31,39,42,34,19,24,13,17,18,21,18,30,14,19,17,29,24,26,31,31,24,19,16,25,22,33,35
20240824,1,PM2.5,11,9,16,7,15,13,14,10,25,27,10,15,7,6,6,13,12,4,3,16,11,9,12,20,14,13,11,9,6,11,19,7,13,18,36
20240824,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,1,PM10,19,13,26,13,21,21,23,18,40,42,16,29,12,11,15,22,17,10,10,37,22,15,22,35,27,19,19,18,12,20,,14,24,35,45
20240824,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,1,AQI,28,21,26,30,26,23,23,18,40,42,21,29,17,20,15,22,18,20,20,37,22,16,22,35,27,25,27,25,21,20,28,27,24,35,52
20240824,2,PM2.5,17,18,18,17,20,19,24,17,17,33,10,13,7,5,6,6,7,4,3,15,14,8,11,28,21,23,22,15,8,10,18,11,20,24,29
20240824,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,2,PM10,26,27,31,30,28,32,36,27,27,46,18,26,12,10,17,12,12,10,9,37,26,18,20,42,35,30,37,28,16,18,24,28,38,47,41
20240824,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,2,AQI,26,27,31,30,29,32,36,27,27,48,18,26,14,20,17,15,12,21,20,37,26,18,20,42,35,33,37,28,16,20,26,28,38,47,42
20240824,3,PM2.5,22,20,15,15,18,21,16,8,15,42,14,13,8,5,5,6,7,10,5,17,13,6,8,30,20,32,32,22,15,11,18,9,13,24,26
20240824,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,3,PM10,33,30,25,27,26,35,23,15,25,56,29,26,14,12,17,13,11,19,14,40,26,16,19,39,33,41,52,40,27,21,30,23,25,48,40
20240824,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,3,AQI,33,30,25,27,26,35,25,17,25,59,29,26,14,16,17,13,11,19,18,40,26,16,19,43,33,46,51,40,27,32,30,23,25,48,40
20240824,4,PM2.5,21,14,12,12,16,17,14,6,14,25,17,12,7,5,5,5,6,14,15,21,12,17,11,29,17,33,34,23,18,19,17,9,12,28,24
20240824,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,4,PM10,30,20,20,20,23,26,21,10,25,37,35,22,13,11,16,11,10,24,29,44,25,21,22,33,29,42,51,42,32,34,29,22,24,59,36
20240824,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,4,AQI,30,20,23,24,23,26,21,10,25,37,35,22,24,11,16,13,10,24,29,44,25,25,22,42,29,48,51,42,32,34,29,22,24,55,36
20240824,5,PM2.5,19,15,15,15,15,15,15,5,12,24,13,8,6,4,5,5,5,13,14,19,14,20,20,21,11,32,33,24,22,21,18,10,13,27,20
20240824,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,5,PM10,26,21,25,25,23,23,22,10,22,37,25,15,11,11,17,10,9,23,28,39,29,37,32,23,20,39,49,43,41,38,29,23,27,57,31
20240824,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,5,AQI,28,22,25,25,25,23,22,10,22,37,25,15,11,13,17,10,9,23,28,39,29,37,32,30,20,46,49,43,41,38,29,23,27,54,31
20240824,6,PM2.5,15,18,19,19,13,14,18,5,14,24,20,10,6,4,6,5,6,5,9,14,12,14,20,11,7,29,33,25,21,21,16,10,15,24,21
20240824,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,6,PM10,22,25,30,32,20,22,28,10,26,38,44,18,11,11,20,11,10,14,19,28,26,27,30,14,14,35,50,44,40,38,28,23,32,50,32
20240824,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,6,AQI,22,26,30,32,25,22,28,10,26,38,44,18,11,12,20,11,10,14,19,28,26,27,30,16,14,42,50,44,40,38,28,23,32,50,32
20240824,7,PM2.5,8,18,18,14,15,12,14,6,15,25,22,15,7,6,8,6,7,5,4,12,14,11,12,16,12,27,34,24,21,22,20,13,14,24,25
20240824,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,7,PM10,19,25,28,21,22,19,21,12,32,38,50,29,13,13,21,13,13,14,12,24,27,25,21,17,22,31,48,43,37,37,40,28,32,47,37
20240824,7,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,7,AQI,19,26,28,21,22,19,21,12,32,38,50,29,13,13,21,13,13,14,12,24,27,25,21,23,22,39,49,43,37,37,40,28,32,47,37
20240824,8,PM2.5,6,16,14,14,18,13,15,15,18,30,20,17,8,7,9,10,11,8,6,10,12,11,11,22,17,18,24,22,23,25,19,24,20,22,27
20240824,8,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,8,PM10,15,23,23,21,25,19,22,24,35,43,44,31,16,13,19,17,18,15,13,21,21,23,17,,29,21,32,39,36,34,47,40,42,47,46
20240824,8,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,8,AQI,24,23,23,23,26,19,22,24,35,43,44,31,16,15,19,17,18,15,15,21,21,23,17,32,29,26,35,39,36,36,47,40,42,47,46
20240824,9,PM2.5,7,10,11,11,9,9,16,16,10,18,17,13,12,9,10,23,23,9,7,9,6,8,9,19,15,10,16,13,17,15,20,21,17,15,20
20240824,9,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,9,PM10,18,16,20,19,17,13,24,23,25,29,38,26,22,16,20,32,33,16,14,14,11,19,15,19,24,13,21,24,28,22,42,45,36,35,43
20240824,9,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,9,AQI,27,28,25,25,20,21,24,23,25,29,38,26,22,16,20,33,33,19,18,14,13,19,15,28,24,24,23,24,28,22,42,45,36,35,43
20240824,10,PM2.5,7,10,9,9,9,10,14,14,7,10,14,11,13,12,7,25,24,8,9,10,6,6,7,15,12,9,7,9,12,12,11,16,15,12,15
20240824,10,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,10,PM10,18,16,18,20,20,18,24,19,17,20,26,24,23,21,15,37,36,16,16,14,11,14,12,17,19,12,10,18,21,17,33,34,31,30,33
20240824,10,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,10,AQI,33,32,30,30,23,26,27,24,30,32,27,24,23,21,18,37,36,23,21,19,20,23,21,22,20,23,29,29,25,26,33,34,31,30,33
20240824,11,PM2.5,7,9,7,,9,9,14,12,7,9,11,9,14,11,7,23,20,7,9,8,6,5,7,7,9,9,8,6,9,7,4,12,13,7,13
20240824,11,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,11,PM10,18,16,18,,20,17,24,19,16,18,23,21,24,21,12,39,30,17,16,10,14,11,12,11,16,12,13,12,18,12,21,26,23,17,30
20240824,11,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,11,AQI,41,38,39,,30,34,33,28,38,38,32,31,24,22,23,39,30,28,27,28,27,30,28,32,30,29,30,39,33,37,35,30,24,40,41
20240824,12,PM2.5,6,7,5,,6,8,12,12,7,8,10,8,14,10,8,19,15,7,8,6,6,4,6,8,6,9,7,5,8,6,3,10,15,5,9
20240824,12,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,12,PM10,14,14,15,,15,16,22,20,15,16,21,19,25,21,13,31,27,16,16,7,14,9,10,11,10,13,12,10,17,11,18,23,32,14,22
20240824,12,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240824,12,AQI,49,45,45,,38,44,42,36,44,44,41,38,30,32,29,31,27,36,34,36,35,34,32,39,39,39,42,43,42,45,40,38,37,45,40
