date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20241213,0,SO2,3,3,3,3,4,3,4,2,3,4,6,2,5,3,5,3,1,3,3,3,1,1,1,2,4,1,3,3,1,2,2,3,3,2,1
20241213,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213,0,NO2,47,50,39,37,50,40,70,63,60,62,53,61,4,2,3,13,21,9,7,45,25,22,19,51,47,68,46,68,68,71,73,8,28,69,7
20241213,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213,0,O3,13,12,28,31,15,32,10,2,6,1,9,2,58,60,51,47,32,61,59,1,23,20,31,6,2,2,14,2,2,2,1,64,43,2,67
20241213,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213,0,CO,0.8,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.6,0.7,0.7,0.6,0.2,0.3,0.2,0.3,0.3,0.4,0.2,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.4,1.1,1.1,1.2,1,0.3,0.2,0.8,0.2
20241213,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213,1,SO2,1,3,2,3,4,3,3,1,3,3,5,1,5,3,5,4,1,3,3,3,1,1,3,2,4,3,3,3,3,2,2,1,3,1,1
20241213,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213,1,NO2,23,24,34,22,41,25,51,50,48,57,38,47,9,2,4,26,45,6,4,44,15,11,11,24,26,51,36,58,36,55,69,8,17,66,7
20241213,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241213,1,O3,39,45,33,48,28,49,28,11,17,5,25,11,52,57,44,27,5,64,64,3,40,40,44,42,2,25,27,6,25,14,1,63,55,2,69
