date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20220623,0,PM2.5,73,76,65,,72,92,73,20,55,52,84,28,,22,22,32,34,61,65,49,44,34,51,69,27,43,,43,81,34,123,20,37,30,88
20220623,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,0,PM10,74,,,101,100,122,82,,69,76,,,58,,34,42,37,71,82,59,65,,80,83,40,57,,50,91,,,34,47,31,98
20220623,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,0,AQI,98,102,88,76,97,122,98,29,75,72,112,40,54,32,34,46,49,83,88,68,62,49,70,93,40,60,,60,108,49,162,34,53,43,117
20220623,1,PM2.5,73,74,60,73,73,89,69,21,54,53,85,29,,27,11,31,34,48,59,48,46,31,43,74,41,45,94,37,75,33,99,20,31,29,70
20220623,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,1,PM10,73,,,101,101,120,72,,67,72,,31,52,,17,42,35,57,71,57,65,,67,86,49,60,115,,84,39,,26,40,30,78
20220623,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,1,AQI,98,99,82,98,98,118,93,30,74,73,113,42,51,39,20,45,49,67,80,67,64,45,60,99,58,63,124,53,100,48,130,29,45,42,94
20220623,2,PM2.5,74,81,60,65,67,90,73,19,51,51,71,27,,16,3,28,29,36,43,36,36,27,43,72,35,46,104,34,71,29,94,15,24,32,59
20220623,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,2,PM10,,,,96,98,118,78,29,68,72,73,30,33,,9,38,30,47,53,42,53,31,66,88,39,,130,,88,58,,25,35,32,69
20220623,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,2,AQI,99,108,82,88,90,119,98,29,70,70,95,39,33,23,23,40,42,52,60,52,52,39,60,97,50,64,137,49,95,54,124,25,35,46,80
20220623,3,PM2.5,59,75,63,63,68,83,66,16,43,42,62,29,,6,2,21,28,28,34,6,9,25,46,66,31,47,103,33,66,25,106,13,19,30,44
20220623,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,3,PM10,60,,,94,90,105,69,26,63,63,70,29,10,,5,30,,39,43,11,17,,69,82,48,49,136,,86,40,,22,29,,58
20220623,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,3,AQI,80,100,85,85,92,110,89,26,60,59,84,42,17,14,17,30,40,40,49,21,22,36,64,89,48,65,135,48,89,40,139,22,29,43,62
20220623,4,PM2.5,32,45,45,51,40,44,42,13,32,28,48,22,,2,2,23,31,13,24,2,2,15,20,52,22,39,83,28,38,20,99,12,18,26,46
20220623,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,4,PM10,33,,,66,48,56,44,18,47,43,56,,3,,4,33,31,20,32,6,6,,33,64,,,115,,51,,,26,28,,62
20220623,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,4,AQI,46,63,63,70,57,62,59,19,47,43,67,32,24,22,16,33,45,20,35,25,27,22,33,72,32,55,110,40,54,29,130,26,28,38,64
20220623,5,PM2.5,5,9,12,26,7,13,33,10,22,19,37,19,,2,1,15,27,5,12,2,1,4,4,32,15,32,52,17,16,14,71,11,17,20,38
20220623,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,5,PM10,6,9,,32,,18,35,,30,29,43,,4,,2,21,30,10,19,5,4,,10,40,,,71,,20,,,15,26,,48
20220623,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,5,AQI,25,21,18,38,23,21,48,15,32,29,53,28,24,22,27,22,39,19,19,27,30,29,30,46,22,46,72,25,23,20,95,16,26,29,54
20220623,6,PM2.5,2,2,5,4,6,3,15,6,10,14,21,15,,3,2,14,23,5,4,1,1,2,2,4,4,16,18,10,4,4,80,6,13,20,10
20220623,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,6,PM10,3,3,,6,,6,17,,14,21,26,17,4,,3,21,25,9,9,4,4,2,5,8,,,26,,6,,,27,20,36,14
20220623,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,6,AQI,28,8,19,15,24,22,22,9,15,21,30,22,25,24,30,21,33,15,17,24,27,30,32,21,24,23,26,18,21,19,107,27,20,36,26
20220623,7,PM2.5,2,2,5,3,6,4,7,8,6,9,12,9,,3,2,13,18,3,3,1,1,2,2,1,3,9,8,6,2,3,41,5,4,13,1
20220623,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,7,PM10,3,3,5,6,,7,10,30,11,14,16,79,4,12,3,18,,7,6,4,3,7,4,5,,,14,,4,,,5,10,,3
20220623,7,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,7,AQI,27,18,18,20,22,20,13,30,13,14,18,65,25,23,29,19,26,19,18,26,28,30,30,21,24,19,22,20,22,20,58,17,14,19,32
20220623,8,PM2.5,2,3,4,3,6,3,5,5,5,3,5,8,,3,2,12,16,3,2,1,1,2,2,1,3,3,3,4,2,3,,3,3,8,1
20220623,8,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,8,PM10,4,5,4,8,,5,8,,10,6,7,,3,13,3,16,,6,6,3,3,2,4,5,,9,7,5,4,15,2,21,6,10,2
20220623,8,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,8,AQI,27,23,21,24,24,24,15,15,16,19,21,16,26,25,30,18,23,22,20,26,3,29,30,22,25,24,27,24,25,23,21,23,19,16,32
20220623,9,PM2.5,2,3,2,2,2,2,3,4,2,1,2,5,,3,2,7,9,2,2,1,1,2,1,1,3,2,2,4,2,3,18,3,2,5,1
20220623,9,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,9,PM10,4,5,4,5,4,5,5,8,5,3,4,,3,11,3,11,9,4,5,3,3,,3,5,10,16,5,8,4,9,23,,5,,2
20220623,9,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,9,AQI,31,27,28,30,28,27,23,20,22,31,28,23,29,27,33,27,21,27,24,27,29,30,31,25,27,27,30,29,28,26,26,31,24,21,33
20220623,10,PM2.5,2,2,2,1,1,2,2,3,2,1,2,4,2,3,2,5,5,2,1,1,1,2,1,1,3,3,2,3,2,3,5,2,1,3,1
20220623,10,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,10,PM10,3,4,4,5,4,4,4,,4,3,4,,2,,3,8,7,4,4,3,2,,3,4,,9,5,,4,,23,,3,13,2
20220623,10,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,10,AQI,37,33,33,35,32,33,30,27,29,35,34,29,33,31,36,34,29,32,28,27,30,32,32,28,31,30,34,35,33,31,29,34,31,28,33
20220623,11,PM2.5,2,2,1,1,1,2,1,3,1,2,2,3,2,3,2,3,4,2,2,1,1,2,1,1,3,3,2,2,1,2,,2,1,3,2
20220623,11,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,11,PM10,3,3,3,4,3,3,3,,3,3,3,,3,13,3,6,5,5,4,3,2,,3,3,,6,5,,3,,2,,3,,4
20220623,11,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,11,AQI,40,36,37,39,32,36,35,30,34,3,38,33,36,34,38,40,35,6,34,29,31,33,34,33,35,35,38,40,37,34,33,36,34,31,37
20220623,12,PM2.5,2,2,2,1,1,2,2,3,2,,2,4,2,3,2,3,3,2,2,1,1,2,1,2,3,3,2,2,1,2,,2,1,2,4
20220623,12,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,12,PM10,3,3,3,4,3,3,3,,3,3,3,,2,15,3,5,5,4,4,3,2,,3,4,4,,4,5,2,,6,,2,,6
20220623,12,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,12,AQI,42,5,39,42,33,40,40,34,39,43,42,38,38,36,40,5,7,4,39,31,33,35,35,36,38,40,42,45,40,38,39,37,36,36,49
20220623,13,PM2.5,2,2,2,1,2,2,2,4,2,,2,4,2,3,2,,3,2,1,1,1,2,1,2,3,2,1,2,1,2,5,3,1,3,5
20220623,13,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220623,13,PM10,3,3,4,4,3,3,3,,3,3,3,5,3,3,3,,4,3,3,3,2,,2,3,8,8,4,5,3,7,11,5,2,7,8
20220623,13,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
