date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20220919,0,SO2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,1,3,3,2,1,1,3,4,1,3,1,3,2,3
20220919,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,0,NO2,61,56,38,43,69,75,80,31,42,17,69,63,7,28,4,5,6,5,3,37,3,12,16,,43,69,68,83,74,92,28,23,21,47,14
20220919,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,0,O3,20,,37,34,13,4,9,33,49,70,23,18,66,35,71,60,58,47,57,13,57,55,28,37,19,2,,6,2,1,1,64,54,47,74
20220919,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,0,CO,0.5,0.5,0.3,0.4,0.3,0.5,0.3,0.4,0.2,0.2,0.4,0.5,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,0.4,0.2,0.3,0.5,0.6,0.4,0.5,0.8,0.4,0.3,0.2,0.4,0.2
20220919,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,1,SO2,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,2,2,2,3,1,3,3,1,3,2,3
20220919,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,1,NO2,40,49,39,39,67,56,69,34,42,20,68,49,19,18,3,4,5,12,5,29,3,12,13,,35,70,68,80,68,80,47,20,19,60,12
20220919,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,1,O3,34,,26,28,12,13,14,23,41,61,17,25,43,38,70,58,56,45,55,23,61,53,36,37,25,2,2,4,2,1,2,61,59,32,74
20220919,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,1,CO,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.1,0.2,0.4,0.5,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.6,0.3,0.1,0.3,0.4,0.5,0.5,0.5,0.7,0.6,0.3,0.2,0.4,0.2
20220919,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,2,SO2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,1,3,3,2,1,2,3,1,1,3,3,3,2,3
20220919,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,2,NO2,36,28,39,37,82,38,56,31,42,24,24,42,4,2,4,4,5,11,9,14,3,12,13,,33,65,65,67,78,76,55,21,19,60,8
20220919,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,2,O3,35,41,28,23,2,25,22,15,31,51,60,31,53,59,68,54,53,47,57,47,61,56,32,30,25,2,2,7,2,2,2,56,53,29,74
20220919,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,2,CO,0.2,0.2,0.3,0.4,0.3,0.2,0.2,0.4,0.2,0.2,0.2,0.5,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.5,0.3,0.1,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.3,0.2,0.3,0.2
20220919,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,3,SO2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,2,1,2,3,1,3,3,3,3,2,3
20220919,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,3,NO2,35,28,56,34,77,30,41,29,50,21,23,51,5,2,4,4,6,25,20,9,3,11,11,,27,65,62,29,75,68,55,20,23,52,7
20220919,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,3,O3,35,39,10,27,1,30,33,15,18,44,55,21,50,58,67,53,51,30,41,57,59,51,28,39,24,2,2,37,1,1,2,52,39,30,70
20220919,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,3,CO,0.2,0.2,0.3,0.3,0.3,0.1,0.2,0.3,0.2,0.2,0.2,0.4,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.6,0.3,0.1,0.3,0.4,0.4,0.2,0.4,0.4,0.5,0.3,0.2,0.3,0.2
20220919,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,4,SO2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,2,1,2,3,1,1,3,3,3,2,3
20220919,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,4,NO2,29,31,39,35,56,57,60,38,33,15,67,66,6,7,5,6,6,13,14,6,2,12,12,,23,62,59,31,69,68,46,18,17,45,8
20220919,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,4,O3,38,28,22,29,19,6,7,10,37,45,9,2,49,49,56,46,42,41,43,55,60,44,24,46,32,2,2,33,6,2,2,46,43,31,64
20220919,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,4,CO,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.5,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.6,0.3,0.1,0.2,0.4,0.4,0.2,0.3,0.4,0.5,0.3,0.1,0.3,0.2
20220919,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,5,SO2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,1,3,3,3,1,3,3,2,1,3,3,1,1,3,3,3,2,3
20220919,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220919,5,NO2,24,21,29,23,32,42,66,44,30,21,59,61,7,3,4,8,11,8,5,6,2,12,12,,18,60,54,40,75,69,41,18,15,50,6
