date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20220904,0,PM2.5,35,45,34,51,34,35,31,23,31,25,32,27,33,33,19,22,23,34,35,49,35,36,37,52,53,43,43,42,40,43,44,25,25,34,22
20220904,0,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,0,PM10,54,59,49,61,55,53,42,,46,46,55,33,47,,27,30,31,46,45,67,46,46,73,70,,80,99,44,60,,59,28,41,,39
20220904,0,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,0,AQI,52,63,49,70,53,52,45,33,46,46,53,39,48,48,28,35,35,49,50,68,50,52,62,72,73,65,75,59,57,60,62,36,41,49,39
20220904,1,PM2.5,35,45,38,50,36,43,35,21,33,29,38,32,33,33,20,25,26,33,35,44,37,4,37,47,52,44,46,46,48,44,50,27,26,40,22
20220904,1,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,1,PM10,55,58,55,58,59,64,48,24,44,48,67,33,45,,27,34,34,44,44,60,49,37,71,66,,56,99,,69,54,58,31,41,,38
20220904,1,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,1,AQI,53,63,54,69,55,60,50,30,48,48,59,46,48,48,29,36,38,48,50,62,53,37,61,65,72,62,75,64,67,62,69,39,41,57,38
20220904,2,PM2.5,44,53,38,56,38,49,36,21,40,31,41,36,44,34,20,32,32,40,33,37,35,,36,37,53,49,49,48,50,40,49,27,27,44,22
20220904,2,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,2,PM10,66,64,58,65,63,75,50,21,52,52,69,39,61,,26,41,41,55,41,53,49,25,67,55,,52,102,,72,68,,,44,,38
20220904,2,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,2,AQI,62,73,54,77,57,68,52,30,57,51,60,52,62,49,29,46,46,57,48,53,50,26,59,53,73,68,76,67,69,59,68,39,44,62,38
20220904,3,PM2.5,50,63,49,67,46,50,34,24,44,37,44,42,48,37,21,37,37,48,53,36,39,,36,47,58,51,55,53,52,39,58,29,29,39,24
20220904,3,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,3,PM10,76,78,74,82,78,79,48,,69,60,72,46,65,,27,47,45,66,67,52,53,26,64,71,,55,111,54,76,50,,,46,,41
20220904,3,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,3,AQI,69,85,68,90,64,69,49,35,62,55,62,59,67,53,30,53,53,67,73,52,55,28,57,65,79,70,81,73,72,55,79,42,46,55,41
20220904,4,PM2.5,49,65,53,,54,47,46,27,42,38,44,43,56,51,22,36,36,49,50,41,43,,34,44,56,51,263,57,54,40,52,28,29,39,29
20220904,4,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,4,PM10,78,82,77,,91,77,61,,60,61,70,,76,,29,45,44,66,65,58,58,35,60,66,,,,65,79,45,,,47,,48
20220904,4,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,4,AQI,68,88,73,,74,65,64,39,59,56,62,60,77,70,32,52,52,68,69,58,60,35,55,62,77,70,313,78,74,57,72,40,47,55,48
20220904,5,PM2.5,47,64,55,71,61,50,71,46,43,34,47,44,60,56,32,48,48,48,46,41,45,,34,43,55,33,67,58,55,45,60,29,30,43,34
20220904,5,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,5,PM10,75,80,79,92,100,82,89,,52,58,71,,79,,41,58,56,63,60,57,57,20,60,64,,,69,65,78,48,,31,48,,54
20220904,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,5,AQI,65,87,75,95,83,69,95,64,60,54,65,62,82,77,46,67,67,67,64,58,63,23,55,60,75,48,90,79,75,63,82,42,48,60,52
20220904,6,PM2.5,46,61,54,70,56,49,77,46,54,29,42,41,53,50,56,47,48,45,43,42,49,,32,39,54,29,47,59,56,45,52,33,32,47,32
20220904,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,6,PM10,75,76,77,92,97,79,93,,59,50,62,44,68,,74,57,54,58,57,55,57,38,57,57,,36,58,68,79,47,,35,50,,48
20220904,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,6,AQI,64,83,74,94,77,68,103,64,74,50,59,58,73,69,77,65,67,63,60,59,68,38,54,55,74,42,65,80,77,63,72,48,50,65,48
20220904,7,PM2.5,44,64,53,73,48,46,69,42,60,27,43,40,44,44,55,48,49,40,37,37,45,,29,36,52,32,47,58,53,42,65,34,32,36,31
20220904,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220904,7,PM10,73,81,76,94,87,73,83,,64,48,65,50,57,,73,56,51,50,50,51,51,31,49,56,,49,70,65,75,47,,37,49,41,46
