date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20220815,0,SO2,3,3,2,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,2,3,1,3,3,3,1,3,3,3,3,3,3,3,4,3
20220815,0,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,0,NO2,21,13,19,16,15,14,23,10,11,9,23,8,16,16,4,8,11,8,8,13,3,2,6,9,13,14,11,23,19,21,11,12,10,24,9
20220815,0,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,0,O3,52,16,38,25,39,36,17,13,25,17,41,21,10,20,9,35,6,45,50,34,45,32,29,35,37,35,43,23,18,20,24,36,33,28,33
20220815,0,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,0,CO,1.2,1.2,1.3,1.4,1.2,1.2,1.1,1.2,1.3,1.2,1.1,1.1,1.1,1.2,0.9,0.9,0.9,0.9,1,0.7,0.8,0.8,0.7,0.9,1,1.1,1.1,1.2,1.3,1.3,1,0.9,1.1,1.3,1.1
20220815,0,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,1,SO2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3
20220815,1,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,1,NO2,23,10,16,14,32,14,21,13,14,7,27,5,15,22,5,11,14,6,5,17,5,1,5,7,10,15,12,20,19,19,12,20,15,35,14
20220815,1,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,1,O3,42,11,39,14,17,25,18,4,13,27,32,21,8,13,15,24,5,37,45,26,34,41,26,42,42,27,36,16,16,12,28,15,8,13,34
20220815,1,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,1,CO,1.2,1.2,1.2,1.4,1.2,1.2,1.1,1.2,1.2,1.2,1.1,1.1,1.1,1.2,0.9,0.9,0.9,0.8,0.9,0.7,0.7,0.7,0.7,0.9,0.9,1.1,1.1,1.2,1.3,1.3,1,0.9,1.1,1.3,1.2
20220815,1,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,2,SO2,3,2,2,3,3,3,1,4,3,3,3,3,3,3,3,3,18,3,3,2,3,2,1,3,3,3,3,1,3,3,3,3,3,4,3
20220815,2,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,2,NO2,28,14,17,15,44,19,25,13,17,7,27,16,16,17,6,13,20,3,3,12,6,1,4,9,14,17,14,20,32,27,14,14,16,38,13
20220815,2,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,2,O3,30,9,34,12,1,19,9,2,7,17,22,10,8,11,15,25,2,31,45,24,31,31,25,35,25,28,34,13,4,2,26,14,2,7,26
20220815,2,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,2,CO,1.1,1.2,1.2,1.4,1.2,1.2,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1,0.9,0.9,0.8,0.9,0.7,0.7,0.7,0.7,0.8,0.8,1.1,1.1,1.1,1.3,1.3,1,0.9,1,1.3,1.2
20220815,2,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,3,SO2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
20220815,3,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,3,NO2,32,12,20,16,44,30,23,13,21,6,32,14,12,16,6,13,9,3,2,8,4,2,4,11,19,17,16,22,27,31,10,20,15,33,13
20220815,3,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,3,O3,27,7,23,5,3,11,9,2,2,12,13,5,8,13,15,14,13,29,42,21,24,36,29,30,18,26,28,14,4,2,33,6,11,9,19
20220815,3,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,3,CO,1.1,1.1,1.2,1.4,1.2,1.2,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.2,1,0.8,0.7,0.8,0.9,0.7,0.7,0.8,0.7,0.8,0.9,1,1.1,1.1,1.3,1.2,1,0.8,0.9,1.3,1.2
20220815,3,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,4,SO2,3,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
20220815,4,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,4,NO2,37,14,21,15,31,34,34,16,23,4,49,20,17,21,6,8,7,4,2,9,4,2,5,12,19,14,12,21,31,31,21,23,14,27,13
20220815,4,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,4,O3,17,5,15,6,8,9,3,2,2,8,2,2,9,10,29,18,7,25,33,17,16,35,25,24,16,29,34,10,4,3,9,3,9,,12
20220815,4,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,4,CO,1.2,1.1,1.2,1.4,1.1,1.2,1.1,1.3,1.1,1.1,1.1,1.1,1.1,1.3,1,0.9,0.7,0.8,0.9,0.7,0.7,0.7,0.7,0.8,0.9,1,1,1,1.3,1.3,1,0.8,0.9,1.3,1.2
20220815,4,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,5,SO2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
20220815,5,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,5,NO2,44,14,28,19,28,32,30,12,15,9,41,13,25,20,3,9,12,7,2,10,3,3,7,11,10,14,10,20,37,34,15,24,17,15,11
20220815,5,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,5,O3,8,1,9,2,10,5,2,2,2,7,2,1,1,2,36,16,2,24,31,16,24,25,20,22,23,29,35,9,1,2,5,1,8,22,12
20220815,5,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,5,CO,1.2,1.1,1.2,1.4,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.3,0.7,0.9,0.7,0.8,0.9,0.7,0.7,0.7,0.7,0.8,0.9,1,1,1,1.3,1.3,1.1,0.8,0.8,1.2,1.1
20220815,5,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,6,SO2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
20220815,6,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,6,NO2,48,13,29,24,37,35,28,12,13,11,37,12,13,18,3,11,10,5,2,10,4,4,15,11,14,24,15,14,31,31,13,27,17,18,6
20220815,6,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,6,O3,3,2,6,2,1,2,2,2,2,5,1,2,23,6,28,14,5,20,32,13,18,24,8,24,16,15,25,13,1,1,3,3,7,15,18
20220815,6,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,6,CO,1.2,1.1,1.3,1.5,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.1,0.8,1.1,0.7,0.9,0.7,0.8,0.9,0.7,0.7,0.8,0.7,0.8,1,1,1,1,1.3,1.2,1.2,0.7,0.7,1.2,0.6
20220815,6,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,7,SO2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3
20220815,7,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,7,NO2,42,15,31,26,34,36,25,9,11,8,33,9,15,7,5,10,8,10,1,10,6,9,14,18,20,26,21,17,26,26,10,16,13,24,6
20220815,7,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,7,O3,10,1,5,2,4,2,2,2,2,15,12,2,22,14,29,13,8,15,30,12,14,14,11,18,8,12,17,9,3,4,6,25,16,8,31
20220815,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,7,CO,1.4,1.2,1.4,1.4,1.1,1.3,1.2,1.1,1.1,1,0.8,1,0.7,0.9,0.6,0.9,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1,1.3,1.3,1.2,0.4,0.6,1.2,0.4
20220815,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,8,SO2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,2,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3
20220815,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,8,NO2,40,18,33,26,30,34,27,13,13,3,21,6,12,9,5,11,8,7,2,14,7,9,9,17,22,17,15,22,25,26,12,10,14,23,8
20220815,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,8,O3,17,2,12,2,15,6,2,1,2,55,36,9,24,26,46,22,19,21,25,14,23,22,21,17,6,21,23,11,7,8,11,31,16,15,33
20220815,8,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,8,CO,1.3,1.3,1.3,1.6,1,1.3,1.3,1.1,1.1,0.4,0.5,0.8,0.7,0.8,0.6,0.8,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.8,1.1,1.1,1.1,1,1.3,1.3,1.2,0.3,0.6,0.9,0.4
20220815,8,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,9,SO2,3,3,3,3,3,,3,1,3,1,3,3,3,3,3,1,3,3,3,2,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3
20220815,9,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,9,NO2,34,29,27,29,21,29,35,16,19,1,31,2,11,7,2,10,8,10,5,19,14,6,6,13,15,19,17,22,28,25,11,9,11,21,7
20220815,9,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,9,O3,36,14,32,16,35,21,12,9,20,60,35,33,21,37,65,41,35,42,40,25,29,34,33,27,18,23,26,31,13,19,25,47,23,26,39
20220815,9,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,9,CO,1.1,1.2,1,1.2,0.7,1.1,1.3,0.9,0.6,0.3,0.6,0.5,0.7,0.6,0.4,0.6,0.5,0.6,0.7,0.8,0.7,0.7,0.7,0.8,1,1.1,1,0.6,1.3,1.2,1.1,0.2,0.5,0.7,0.4
20220815,9,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,10,SO2,3,3,3,3,3,,3,2,3,1,3,3,3,3,3,1,3,3,3,2,3,1,3,3,3,1,2,3,3,3,3,3,3,4,3
20220815,10,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,10,NO2,18,28,22,24,23,29,26,9,14,1,21,4,11,6,1,5,4,6,2,16,11,4,3,8,7,21,22,14,26,19,10,6,6,10,7
20220815,10,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,10,O3,68,27,54,35,44,44,32,34,41,75,57,41,35,35,71,61,49,67,69,43,50,54,56,58,55,37,38,51,23,20,41,71,,56,52
20220815,10,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,10,CO,0.5,0.9,0.6,0.8,0.6,0.6,0.7,0.7,0.4,0.2,0.3,0.5,0.8,0.5,0.3,0.4,0.3,0.3,0.4,0.6,0.6,0.6,0.5,0.4,0.5,0.9,0.9,0.3,1,1,1,0.1,0.3,0.3,0.3
20220815,10,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,11,SO2,3,3,2,3,3,3,3,2,3,1,3,3,1,3,3,1,3,3,3,2,3,,3,3,3,3,3,3,3,3,3,3,,4,1
20220815,11,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,11,NO2,17,27,24,20,15,22,21,8,10,3,17,2,8,3,1,1,6,7,2,3,2,,3,5,4,14,11,8,16,20,11,5,,9,1
20220815,11,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,11,O3,,54,56,49,60,53,45,36,63,78,69,,44,,,88,73,69,78,76,74,,,69,70,62,69,67,48,44,61,,46,61,73
20220815,11,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,11,CO,0.5,0.5,0.6,0.7,0.5,0.5,0.5,0.5,0.3,0.2,0.2,0.3,1.1,0.4,0.3,0.3,0.2,0.2,0.3,0.3,0.3,,0.5,0.2,0.3,0.6,0.7,0.2,0.5,0.7,0.9,0.3,,0.3,0.2
20220815,11,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,12,SO2,,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,2,3,,,3,3,3,3,3,3,3,3,3,3,4,3
20220815,12,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,12,NO2,11,18,17,16,10,22,26,11,7,2,18,2,6,4,2,2,2,8,2,2,2,,3,2,2,6,2,7,12,13,5,5,6,7,4
20220815,12,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,12,O3,75,67,70,71,67,59,47,31,61,81,69,69,69,65,,98,88,72,78,80,81,,75,75,75,75,86,76,61,61,84,83,64,64,77
20220815,12,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,12,CO,,0.4,0.5,0.6,0.4,0.4,0.5,0.6,0.3,0.3,0.2,0.3,0.3,0.4,0.3,0.2,0.1,0.2,0.3,0.2,0.2,,,0.2,0.2,0.4,0.4,0.1,0.5,0.5,0.6,0.2,0.3,0.3,0.2
20220815,12,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,13,SO2,,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,,3,3,3,3,3,3,3,3,3,3,3,4,3
20220815,13,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,13,NO2,,12,13,10,6,14,14,5,7,2,13,2,5,3,1,1,1,10,2,1,2,,,3,2,4,2,5,6,8,2,5,6,7,4
20220815,13,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,13,O3,92,82,84,82,77,76,64,48,79,88,81,69,84,74,77,95,84,74,83,83,81,,81,75,76,82,93,86,83,77,93,86,68,70,80
20220815,13,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,13,CO,0.3,0.3,0.4,0.6,0.4,0.4,0.4,0.5,0.2,0.3,0.2,0.3,0.3,0.4,0.3,0.2,0.3,0.2,0.3,0.3,0.2,,0.2,0.2,0.2,0.3,0.3,0.1,0.4,0.4,0.4,0.3,0.3,0.3,0.2
20220815,13,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,14,SO2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,,3,,3,3,1,3,3,3,3,3,3,4,1
20220815,14,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,14,NO2,9,10,7,6,4,9,6,2,5,2,8,2,5,2,2,2,2,12,1,2,3,,4,,2,7,1,5,5,6,2,5,3,5,4
20220815,14,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,14,O3,110,99,96,98,84,94,90,83,85,90,96,84,84,78,85,94,83,78,87,84,80,,82,77,78,90,101,91,97,92,105,89,80,73,78
20220815,14,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20220815,14,CO,0.3,0.2,0.3,0.5,0.3,0.3,0.2,0.4,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.3,0.2,,0.2,,0.2,0.3,0.3,0.1,0.4,0.3,0.3,0.3,0.2,0.2,0.2
20220815,14,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
